FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
upa.fid-26cf0271_15535a94121_3c30,38649,Camocim - CE - Camocim - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,CAMOCIM,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.8547318700277 -2.90086812786017)),0
upa.fid-26cf0271_15535a94121_3c31,38702,Parnaíba - PI - Parnaíba - PI - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PI,PARNAÍBA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-41.7757655561852 -2.90621586407447)),0
upa.fid-26cf0271_15535a94121_3c32,62730,Garanhuns - PE - Garanhuns - PE - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PE,GARANHUNS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-36.493 -8.89)),0
upa.fid-26cf0271_15535a94121_3c33,62795,Ibitinga - SP - Ibitinga - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,IBITINGA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.829 -21.758)),0
upa.fid-26cf0271_15535a94121_3c34,77327,Itupeva - SP - Itupeva - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,ITUPEVA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.058 -23.153)),0
upa.fid-26cf0271_15535a94121_3c35,11707,Rio Branco - AC - Rio Branco - AC - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Estado,AC,RIO BRANCO,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-67.81 -9.975)),0
upa.fid-26cf0271_15535a94121_3c36,11709,Araci - BA - Araci - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ARACI,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.967 -11.333)),0
upa.fid-26cf0271_15535a94121_3c37,11710,Catu - BA - Catu - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CATU,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.379 -12.353)),0
upa.fid-26cf0271_15535a94121_3c38,11711,Dias D'Ávila - BA - Dias D'Ávila - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,DIAS D'ÁVILA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-38.297 -12.613)),0
upa.fid-26cf0271_15535a94121_3c39,11714,Itaberaba - BA - Itaberaba - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ITABERABA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.307 -12.528)),0
upa.fid-26cf0271_15535a94121_3c3a,11715,Lauro de Freitas - BA - Lauro de Freitas - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,LAURO DE FREITAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.327 -12.894)),0
upa.fid-26cf0271_15535a94121_3c3b,11716,Salvador - BA - Salvador - BA - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.511 -12.971)),0
upa.fid-26cf0271_15535a94121_3c3c,11717,Salvador - BA - Salvador - BA - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.511 -12.971)),0
upa.fid-26cf0271_15535a94121_3c3d,11721,Santo Amaro - BA - Santo Amaro - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,SANTO AMARO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.712 -12.547)),0
upa.fid-26cf0271_15535a94121_3c3e,11723,Caucaia - CE - Caucaia - CE - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,CAUCAIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.656 -3.733)),0
upa.fid-26cf0271_15535a94121_3c3f,11730,Aparecida de Goiânia - GO - Aparecida de Goiânia - GO - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,GO,APARECIDA DE GOIÂNIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.245 -16.822)),0
upa.fid-26cf0271_15535a94121_3c40,11737,Araguari - MG - Araguari - MG - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MG,ARAGUARI,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.187 -18.649)),0
upa.fid-26cf0271_15535a94121_3c41,11738,Caratinga - MG - Caratinga - MG - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MG,CARATINGA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-42.139 -19.79)),0
upa.fid-26cf0271_15535a94121_3c42,11740,Timóteo - MG - Timóteo - MG - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MG,TIMÓTEO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-42.644 -19.583)),0
upa.fid-26cf0271_15535a94121_3c43,11741,Três Corações - MG - Três Corações - MG - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MG,TRÊS CORAÇÕES,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-45.253 -21.697)),0
upa.fid-26cf0271_15535a94121_3c44,11742,Campo Grande - MS - Campo Grande - MS - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MS,CAMPO GRANDE,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-54.646 -20.443)),0
upa.fid-26cf0271_15535a94121_3c45,11743,Campo Grande - MS - Campo Grande - MS - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MS,CAMPO GRANDE,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-54.646 -20.443)),0
upa.fid-26cf0271_15535a94121_3c46,11745,Cuiabá - MT - Cuiabá - MT - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MT,CUIABÁ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-56.097 -15.596)),0
upa.fid-26cf0271_15535a94121_3c47,11747,Várzea Grande - MT - Várzea Grande - MT - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MT,VÁRZEA GRANDE,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-56.133 -15.647)),0
upa.fid-26cf0271_15535a94121_3c48,11748,Barcarena - PA - Barcarena - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,BARCARENA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-48.626 -1.506)),0
upa.fid-26cf0271_15535a94121_3c49,11750,Capitão Poço - PA - Capitão Poço - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,CAPITÃO POÇO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.065 -1.745)),0
